user_input,retrieved_contexts,response,reference,answer_correctness,answer_relevancy,question_id,_pred_letter,_gold_letter,_is_correct,_has_context
"A 12-year-old boy who recently immigrated from Namibia is being evaluated for exertional shortness of breath and joint pain for the past month. His mother reports that he used to play soccer but now is unable to finish a game before he runs out of air or begins to complain of knee pain. He was a good student but his grades have recently been declining over the past few months. The mother recalls that he had a sore throat and didn’t go to school for 3 days a few months ago. He had chickenpox at the age of 5 and suffers from recurrent rhinitis. He is currently taking over-the-counter multivitamins. His blood pressure is 110/90 mm Hg, pulse rate is 55/min, and respiratory rate is 12/min. On physical examination, subcutaneous nodules are noted on his elbows bilaterally. On cardiac auscultation, a holosystolic murmur is heard over the mitral area that is localized. Lab work shows:
Hemoglobin 12.9 g/dL
Hematocrit 37.7%
Leukocyte count 5,500/mm3
Neutrophils 65%
Lymphocytes 30%
Monocytes 5%
Mean corpuscular volume 82.2 fL
Platelet count 139,000/mm3
Erythrocyte sedimentation rate 35 mm/h
C-reactive protein 14 mg/dL
Antistreptolysin O (ASO) 400 IU (normal range: > 200 IU)
Which is the mechanism behind the cause of this boy’s symptoms?",[''],Type III hypersensitivity reaction,Type II hypersensitivity reaction,0.34572932665338363,0.5919247484631222,golden_000,C,B,False,False
A 55-year-old woman with a 1-year history of left-sided tinnitus is diagnosed with a tumor of the left jugular fossa. Sialometry shows decreased production of saliva from the left parotid gland. The finding on sialometry is best explained by a lesion of the nerve that is also responsible for which of the following?,[''],Afferent limb of the gag reflex,Afferent limb of the gag reflex,0.9318181818181819,0.5611271520577266,golden_001,B,B,True,False
"A 3-year-old boy is brought to the emergency department with a history of unintentional ingestion of seawater while swimming in the sea. The amount of seawater ingested is not known. There is no history of vomiting. On physical examination, the boy appears confused and is asking for more water to drink. His serum sodium is 152 mmol/L (152 mEq/L). Which of the following changes in volumes and osmolality of body fluids are most likely to be present in this boy?",[''],"Increased ECF volume, decreased ICF volume, increased body osmolality","Increased ECF volume, decreased ICF volume, increased body osmolality",0.9423076923076924,0.7236486450216048,golden_002,D,D,True,False
"A 46-year-old male with a history of recurrent deep venous thromboses on warfarin presents to his hematologist for a follow-up visit. He reports that he feels well and has no complaints. His INR at his last visit was 2.5 while his current INR is 4.0. His past medical history is also notable for recent diagnoses of hypertension, hyperlipidemia, and gastroesophageal reflux disease. He also has severe seasonal allergies. He reports that since his last visit, he started multiple new medications at the recommendation of his primary care physician. Which of the following medications was this patient likely started on?",[''],Omeprazole,Omeprazole,0.8125,0.5816986269002037,golden_005,A,A,True,False
"A five-year-old female presents to the pediatrician for a well visit. The patient’s parents report that she recently entered kindergarten and her teacher expressed concern that the patient is not meeting developmental milestones. She struggles to name colors and has not expressed any interest in learning to read. The patient’s parents have also noticed that the patient is not completing tasks that her older siblings were doing by this age, including dressing herself independently and going to the bathroom by herself. The patient rolled over at 9 months, sat without support at 12 months, and walked at 20 months. Her parents also report that the patient is very social, and that adults frequently comment on her friendly personality. The patient is in the 15th percentile for weight and 5th percentile for height. On physical exam, the patient has a broad forehead, flat nasal bridge, long philtrum, and a wide mouth. She has a strabismus on neurological exam, and her cardiac exam is significant for a heart murmur. Laboratory testing is below:

Serum:
Na+: 145 mEq/L
K+: 3.9 mEq/L
Cl-: 100 mEq/L
HCO3-: 24 mEq/
Urea nitrogen: 11 mg/dL
Glucose: 76 mg/dL
Creatinine: 0.9 mg/dL
Ca2+: 11.9 mg/dL

Which of the following cardiac abnormalities is associated with this condition?",[''],Supravalvular aortic stenosis,Supravalvular aortic stenosis,0.75,0.6618161456837258,golden_006,C,C,True,False
"A 10-year-old boy is brought in by his mother with increasing abdominal pain for the past week. The patient’s mother says he has been almost constantly nauseous over that time. She denies any change in his bowel habits, fever, chills, sick contacts or recent travel. The patient has no significant past medical history and takes no medications. The patient is at the 90th percentile for height and weight and has been meeting all developmental milestones. The temperature is 36.8℃ (98.2℉). On physical examination, the patient’s abdomen is asymmetrically distended. Bowel sounds are normoactive. No lymphadenopathy is noted. A cardiopulmonary examination is unremarkable. Palpation of the right flank and right iliac fossa reveals a 10 × 10 cm firm mass which is immobile and tender. The laboratory findings are significant for the following: 
Hemoglobin 10 g/dL
Mean corpuscular volume 88 μm3
Leukocyte count 8,000/mm3
Platelet count 150,000/mm3
    Serum creatinine 1.1 mg/dL
Serum lactate dehydrogenase (LDH) 1,000 U/L
An ultrasound-guided needle biopsy of the flank mass was performed, and the histopathologic findings are shown in the exhibit (see image). Which of the following is the most likely diagnosis in this patient?",[''],Wilms tumor,Burkitt lymphoma,0.5524169060261681,0.5936410493468581,golden_007,D,A,False,False
"A 45-year-old man with HIV comes to the physician because of multiple lesions on his chest and lower extremities. The lesions have progressively increased in size and are not painful or pruritic. Current medications include abacavir, dolutegravir, and lamivudine. A photograph of the lesions is shown. His CD4+ T-lymphocyte count is 450/mm3 (normal ≥ 500/mm3). A skin biopsy shows multiple spindle-shaped cells and lymphocytic infiltrate. Which of the following is the most appropriate pharmacotherapy?",[''],Alpha-interferon,Alpha-interferon,1.0,0.5484011457461256,golden_008,C,C,True,False
"A two-month-old female presents to the emergency department for difficulty feeding. The patient was born at 38 weeks gestation to a 29-year-old primigravid via vaginal delivery. The newborn period has thus far been uncomplicated. The patient has been exclusively breastfed since birth. Her parents report that feeding had previously seemed to be going well, and the patient has been gaining weight appropriately. Over the past several days, the patient’s mother has noticed that the patient seems to tire out before the end of the feeding. She has also noticed that the patient begins to appear short of breath and has a bluish discoloration of her lips. The patient’s height and weight were in the 20th and 10th percentile at birth, respectively. Her current height and weight are in the 20th and 15th percentiles, respectively. Her temperature is 98.0°F (36.7°C), blood pressure is 60/48 mmHg, pulse is 143/min, and respirations are 40/min. On physical exam, the patient is in no acute distress and appears well developed. A systolic crescendo-decrescendo murmur can be heard at the left upper sternal border. Her abdomen is soft, non-tender, and non-distended. During the abdominal exam, the patient begins crying and develops cyanosis of the perioral region.

Which of the following is the best initial test to diagnose this patient’s condition?",[''],Echocardiogram,Echocardiogram,1.0,0.5864483145923026,golden_009,D,D,True,False
"A 35-year-old female presents to the emergency room complaining of diarrhea and dehydration. She has been experiencing severe watery diarrhea for the past 3 days. She reports that she has been unable to leave the bathroom for more than a few minutes at a time. She noticed earlier today that there was some blood on her toilet paper after wiping. She recently returned from a volunteer trip to Yemen where she worked at an orphanage. Her past medical history is notable for psoriasis for which she takes sulfasalazine. The patient drinks socially and does not smoke. Her temperature is 99°F (37.2°C), blood pressure is 100/55 mmHg, pulse is 130/min, and respirations are 20/min. Mucus membranes are dry. Her eyes appear sunken. Capillary refill is 4 seconds. The patient is started on intravenous fluid resuscitation. Which of the following processes is capable of transmitting the genetic material for the toxin responsible for this patient’s condition?",[''],Transduction,Transduction,1.0,0.601453594026976,golden_010,C,C,True,False
"A 19-year-old woman presents to her gynecologist’s office stating that she has never had a period. She is slightly alarmed because most of her friends in college have been menstruating for years. She is also concerned about her short stature. When she previously visited her family physician during early puberty, she was told that she will gain the appropriate height during her final teenage years. However, over the past few years, she has gained only a couple of inches. On examination, she has a wide chest and short neck. Her breast development is at Tanner stage 1. Her external genitalia is normal with sparse hair distribution over the mons pubis. Her gynecologist suspects a genetic condition and sends her for genetic counseling. Based on her clinical findings, which of the following diseases is she most likely to develop?",[''],Coarctation of aorta,Coarctation of aorta,0.6250000000000001,0.5560355978550992,golden_011,B,B,True,False
